date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-05-07,PI,São José do Divino,city,135,9,True,5354,2210052,2521.47927,0.0667
2021-05-07,PI,São José do Peixe,city,68,1,True,3741,2210102,1817.6958,0.0147
2021-05-07,PI,São José do Piauí,city,144,8,True,6700,2210201,2149.25373,0.0556
2021-05-07,PI,São Julião,city,247,7,True,6371,2210300,3876.9424,0.0283
2021-05-07,PI,São Lourenço do Piauí,city,59,1,True,4577,2210359,1289.05397,0.0169
2021-05-07,PI,São Luis do Piauí,city,102,0,True,2646,2210375,3854.87528,0.0
2021-05-07,PI,São Miguel da Baixa Grande,city,165,1,True,2454,2210383,6723.71638,0.0061
2021-05-07,PI,São Miguel do Fidalgo,city,94,2,True,3038,2210391,3094.14088,0.0213
2021-05-07,PI,São Miguel do Tapuio,city,535,12,True,17639,2210409,3033.05176,0.0224
2021-05-07,PI,São Pedro do Piauí,city,1058,17,True,14324,2210508,7386.20497,0.0161
2021-05-07,PI,São Raimundo Nonato,city,3058,43,True,34877,2210607,8767.95596,0.0141
2021-05-07,PI,Sebastião Barros,city,22,3,True,3451,2210623,637.49638,0.1364
2021-05-07,PI,Sebastião Leal,city,345,4,True,4303,2210631,8017.6621,0.0116
2021-05-07,PI,Sigefredo Pacheco,city,385,11,True,10058,2210656,3827.79877,0.0286
2021-05-07,PI,Simões,city,670,9,True,14649,2210706,4573.69104,0.0134
2021-05-07,PI,Simplício Mendes,city,1099,30,True,12746,2210805,8622.31288,0.0273
2021-05-07,PI,Socorro do Piauí,city,110,6,True,4563,2210904,2410.69472,0.0545
2021-05-07,PI,Sussuapara,city,354,3,True,6767,2210938,5231.2694,0.0085
2021-05-07,PI,Tamboril do Piauí,city,32,4,True,2929,2210953,1092.52305,0.125
2021-05-07,PI,Tanque do Piauí,city,150,1,True,2773,2210979,5409.304,0.0067
2021-05-07,PI,Teresina,city,88123,2026,True,868075,2211001,10151.54221,0.023
2021-05-07,PI,União,city,1885,44,True,44569,2211100,4229.39711,0.0233
2021-05-07,PI,Uruçuí,city,3313,47,True,21655,2211209,15299.00716,0.0142
2021-05-07,PI,Valença do Piauí,city,1637,57,True,20929,2211308,7821.68283,0.0348
2021-05-07,PI,Várzea Branca,city,151,9,True,4938,2211357,3057.91819,0.0596
2021-05-07,PI,Várzea Grande,city,344,1,True,4386,2211407,7843.13725,0.0029
2021-05-07,PI,Vera Mendes,city,197,2,True,3080,2211506,6396.1039,0.0102
2021-05-07,PI,Vila Nova do Piauí,city,161,1,True,2952,2211605,5453.92954,0.0062
2021-05-07,PI,Wall Ferraz,city,329,3,True,4471,2211704,7358.53277,0.0091
2021-05-07,PI,,state,249340,5324,True,3281480,22,7598.40072,0.0214
2021-05-07,PR,,state,977019,23623,True,11516840,41,8483.39475,0.0242
2021-05-07,RJ,,state,778662,46171,True,17366189,33,4483.78167,0.0593
2021-05-07,RO,,state,217153,5311,True,1796460,11,12087.82828,0.0245
2021-05-07,RS,,state,1003065,25807,True,11422973,43,8781.12029,0.0257
2021-05-07,SC,,state,906697,13992,True,7252502,42,12501.85109,0.0154
2021-05-07,SE,,state,209432,4469,True,2318822,28,9031.82737,0.0213
2021-05-07,SP,,state,2984182,99989,True,46289333,35,6446.80277,0.0335
2021-05-06,AM,Alvarães,city,2722,42,True,16220,1300029,16781.75092,0.0154
2021-05-06,AM,Amaturá,city,2326,17,True,11736,1300060,19819.35924,0.0073
2021-05-06,AM,Anamã,city,1717,9,True,13956,1300086,12302.95214,0.0052
2021-05-06,AM,Anori,city,1838,31,True,21477,1300102,8557.99227,0.0169
2021-05-06,AM,Apuí,city,1221,26,True,22359,1300144,5460.88823,0.0213
2021-05-06,AM,Atalaia do Norte,city,2696,8,True,20398,1300201,13216.98206,0.003
2021-05-06,AM,Autazes,city,2766,87,True,40290,1300300,6865.2271,0.0315
2021-05-06,AM,Barcelos,city,4089,57,True,27638,1300409,14794.84767,0.0139
2021-05-06,AM,Barreirinha,city,2303,61,True,32483,1300508,7089.86239,0.0265
2021-05-06,AM,Benjamin Constant,city,2670,83,True,43935,1300607,6077.15944,0.0311
2021-05-06,AM,Beruri,city,2085,31,True,20093,1300631,10376.74812,0.0149
2021-05-06,AM,Boa Vista do Ramos,city,860,11,True,19626,1300680,4381.94232,0.0128
2021-05-06,AM,Boca do Acre,city,2483,22,True,34635,1300706,7169.04865,0.0089
2021-05-06,AM,Borba,city,1843,53,True,41748,1300805,4414.58273,0.0288
2021-05-06,AM,Caapiranga,city,557,20,True,13283,1300839,4193.32982,0.0359
2021-05-06,AM,Canutama,city,1287,8,True,15807,1300904,8141.96242,0.0062
2021-05-06,AM,Carauari,city,6512,51,True,28508,1301001,22842.71082,0.0078
2021-05-06,AM,Careiro,city,4237,80,True,38348,1301100,11048.81611,0.0189
2021-05-06,AM,Careiro da Várzea,city,930,24,True,30846,1301159,3014.97763,0.0258
2021-05-06,AM,Coari,city,9312,221,True,85910,1301209,10839.25038,0.0237
2021-05-06,AM,Codajás,city,2323,21,True,29168,1301308,7964.20735,0.009
2021-05-06,AM,Eirunepé,city,4096,26,True,35700,1301407,11473.38936,0.0063
2021-05-06,AM,Envira,city,2367,10,True,20393,1301506,11606.92394,0.0042
2021-05-06,AM,Fonte Boa,city,1562,36,True,17005,1301605,9185.53367,0.023
2021-05-06,AM,Guajará,city,1606,24,True,16937,1301654,9482.19874,0.0149
2021-05-06,AM,Humaitá,city,7403,137,True,56144,1301704,13185.73668,0.0185
2021-05-06,AM,Ipixuna,city,4463,18,True,30436,1301803,14663.55631,0.004
2021-05-06,AM,Iranduba,city,8587,160,True,49011,1301852,17520.55661,0.0186
2021-05-06,AM,Itacoatiara,city,8544,300,True,102701,1301902,8319.29582,0.0351
2021-05-06,AM,Itamarati,city,911,9,True,7814,1301951,11658.56156,0.0099
2021-05-06,AM,Itapiranga,city,2975,38,True,9230,1302009,32231.85265,0.0128
2021-05-06,AM,Japurá,city,798,7,True,2251,1302108,35450.91071,0.0088
2021-05-06,AM,Juruá,city,905,14,True,15106,1302207,5990.99695,0.0155
2021-05-06,AM,Jutaí,city,2033,33,True,13886,1302306,14640.64525,0.0162
2021-05-06,AM,Lábrea,city,6474,75,True,46882,1302405,13809.13784,0.0116
2021-05-06,AM,Manacapuru,city,7862,321,True,98502,1302504,7981.56383,0.0408
2021-05-06,AM,Manaquiri,city,1381,42,True,33049,1302553,4178.64383,0.0304
2021-05-06,AM,Manaus,city,171156,8814,True,2219580,1302603,7711.1886,0.0515
2021-05-06,AM,Manicoré,city,4377,92,True,56583,1302702,7735.53894,0.021
2021-05-06,AM,Maraã,city,1987,21,True,18261,1302801,10881.11275,0.0106
2021-05-06,AM,Maués,city,4401,116,True,65040,1302900,6766.60517,0.0264
2021-05-06,AM,Nhamundá,city,1802,34,True,21443,1303007,8403.67486,0.0189
2021-05-06,AM,Nova Olinda do Norte,city,2594,66,True,38026,1303106,6821.64835,0.0254
2021-05-06,AM,Novo Airão,city,2247,31,True,19928,1303205,11275.59213,0.0138
2021-05-06,AM,Novo Aripuanã,city,1891,29,True,26046,1303304,7260.2319,0.0153
2021-05-06,AM,Parintins,city,9706,348,True,115363,1303403,8413.44278,0.0359
2021-05-06,AM,Pauini,city,2738,22,True,19522,1303502,14025.20234,0.008
2021-05-06,AM,Presidente Figueiredo,city,5813,88,True,37193,1303536,15629.28508,0.0151
2021-05-06,AM,Rio Preto da Eva,city,4362,67,True,34106,1303569,12789.5385,0.0154
2021-05-06,AM,Santa Isabel do Rio Negro,city,2703,47,True,25865,1303601,10450.41562,0.0174
2021-05-06,AM,Santo Antônio do Içá,city,1807,42,True,21243,1303700,8506.3315,0.0232
2021-05-06,AM,São Gabriel da Cachoeira,city,8066,108,True,46303,1303809,17420.03758,0.0134
2021-05-06,AM,São Paulo de Olivença,city,5121,63,True,40073,1303908,12779.178,0.0123
2021-05-06,AM,São Sebastião do Uatumã,city,1465,18,True,14352,1303957,10207.63657,0.0123
2021-05-06,AM,Silves,city,1352,22,True,9230,1304005,14647.88732,0.0163
2021-05-06,AM,Tabatinga,city,3280,123,True,67182,1304062,4882.26013,0.0375
2021-05-06,AM,Tapauá,city,1757,21,True,17015,1304104,10326.18278,0.012
2021-05-06,AM,Tefé,city,8827,180,True,59547,1304203,14823.58473,0.0204
2021-05-06,AM,Tonantins,city,1272,33,True,18897,1304237,6731.22718,0.0259
2021-05-06,AM,Uarini,city,1808,25,True,13690,1304260,13206.72023,0.0138
2021-05-06,AM,Urucará,city,2319,50,True,16130,1304302,14376.93738,0.0216
2021-05-06,AM,Urucurituba,city,2352,34,True,23585,1304401,9972.44011,0.0145
2021-05-06,AP,Amapá,city,1238,10,True,9187,1600105,13475.5633,0.0081
2021-05-06,AP,Calçoene,city,1593,10,True,11306,1600204,14089.86379,0.0063
2021-05-06,AP,Cutias,city,865,6,True,6101,1600212,14178.00361,0.0069
2021-05-06,AP,Ferreira Gomes,city,1385,6,True,7967,1600238,17384.20987,0.0043
2021-05-06,AP,Itaubal,city,480,3,True,5617,1600253,8545.48691,0.0063
2021-05-06,AP,Laranjal do Jari,city,8233,88,True,51362,1600279,16029.36023,0.0107
2021-05-06,AP,Macapá,city,50524,1195,True,512902,1600303,9850.61474,0.0237
